Sample,Group,2-Methylcitric acid,"3,4-Dihydroxybenzeneacetic acid",3-Methyladenine,4-Hydroxyproline,Adenine,ADP,cis-Aconitic acid,Citrulline,Coenzyme A,Cytidine,D-2-Hydroxyglutaric acid,Dihydroxyacetone phosphate,D-Lactic acid,D-Maltose,D-Ribose 5-phosphate,Erythrose (NPS),Fumaric acid,Galactaric acid,Gluconic acid,Glucosamine,Glycerol,Glycerophosphocholine,Glycine,Glyoxylic acid,Guanine,Guanosine diphosphate mannose,Inosine,L-Arginine,L-Glutamic acid,L-Glutamine,L-Histidine,L-Leucine,L-Lysine,L-Methionine,L-Proline,L-Threonine,L-Valine,Mannitol,Myristic acid,Nicotinic acid,Orotic acid,Oxoglutaric acid,Phthalic acid,Sucrose 6-Phosphate,Taurine,Uric acid,Uridine,Uridine 5'-diphosphate,Uridine 5'-monophosphate,(R)-lipoic acid,3-Methylhistidine,4-Hydroxyphenylpyruvic acid,5'-Methylthioadenosine,Acetyl-CoA,Adenosine triphosphate,Alanylglycine,Allantoin,Citric acid,Cyclic AMP,Deoxyribose 5-phosphate,D-Erythrose 4-phosphate,D-Glucuronic acid,Diaminopimelic acid,Dodecanoic acid,Ergocalciferol (NPS),FAD,"Fructose 1,6-bisphosphate",Gamma-Aminobutyric acid,Glucosamine 6-phosphate,Glutathionylspermidine (NPS),Glycerol 3-phosphate,Guanidine (NPS),Guanosine,Guanosine diphosphate,IDP,L-Asparagine,L-Aspartic acid,L-Citronellol (NPS),L-Cystine,L-Homoserine,L-Isoleucine,L-Malic acid,L-Serine,L-Tyrosine,N-Acetylglutamine,N-Acetylhistamine ,N-Acetylneuraminic acid,N-Acetylornithine,NAD,NADP,N-Alpha-acetyllysine,Ornithine,Orotidine,Oxalacetic acid,Oxalic acid,Palmitic acid,PC(14:0/14:0),Phenylacetylglycine,Phytosphingosine,PS(14:0/14:0),Pyridoxal,Retinol acetate (NPS),Rhamnose (NPS),Spermine (NPS),Succinic acid,Sucrose,Taurocholic acid,Thiamine pyrophosphate,Thymine,Trehalose 6-phosphate (NPS),Trypanothione disulfide,Uracil,Uridine diphosphate glucose,"2,3-Dihydroxybutanedioic acid",2-Ketobutyric acid,4-Hydroxycinnamic acid,5-Aminolevulinic acid,5-Hydroxylysine,Adenosine monophosphate,Alpha-Lactose,Aminoadipic acid,Betaine,Cytidine monophosphate,dCMP,Deoxyadenosine monophosphate,D-Fructose,D-Glyceraldehyde 3-phosphate,dIMP,D-Ribose,D-Ribulose 5-phosphate,dUMP,Flavin Mononucleotide,Flavin Mononucleotide (MH),Fructose 6-phosphate,Glycyl-glycine,Guanosine monophosphate,Inosinic acid,L-Alanine,L-Norleucine,Maleic acid,PE(14:0/14:0),Phosphoric acid,Phosphorylcholine (NPS),Phosphoserine,Pyruvic acid,Ribitol,S-Adenosylhomocysteine,Sorbitol,Sphinganine,2'-Deoxyguanosine 5'-monophosphate,5beta-Coprostanol (NPS),Acetoacetic acid,Acetylcholine (NPS),"Alpha-D-Glucose 1,6-bisphosphate",Beta-Alanine,Biotin,Capric acid,Caproic acid,Caprylic acid,Cycloserine (NPS),Cytidine triphosphate (NPS),D-Glucose,Galactonolactone,Galacturonic acid,Glucose 6-phosphate,Heptadecanoic acid,Imidazoleacetic acid,Isocitric acid,Lipoamide,L-Kynurenine,L-Phenylalanine,L-Tryptophan,Methylmalonic acid,Myo-inositol hexakisphosphate,Myriocin,Pantothenic acid,Selenomethionine,SM(d18:1/12:0),Trehalose,Uridine diphosphategalactose,Uridine diphosphate-N-acetylglucosamine,Xanthine,Beta-Glycerophosphoric acid,Biopterin,Cellobiose,D-Xylose,Glutathione,L-Gulonolactone,myo-Inositol,N-Acetylgalactosamine,NADH,Pyrophosphate,Succinic acid semialdehyde (MH1),Succinic acid semialdehyde (MH2)
Dros_Minus1,Minus,323785,3252,87915,5794847,3145433,23332,5461753,59766,9065,95900,25393095,761,1729581,19884718,10550,349517,648981,1442289,8176985,0,446830,30664,75390,30497,15164,39499,3141805,2673843,11608054,36353806,1543123,2961256,144068,1517708,24846926,3195299,1806503,3170273,12962046,144701,2186020,45467211,10906972,83839,15282477,20249537,1623760,19805,143952,276710,63130,178153,13021,3454,873,78869,51824,2814858,72189,50466,0,979188,0,3382553,1847,595688,0,1069635,124387,25617,70808,0,368450,0,730,333377,613405,21304,78752,3207493,2076505,5973675,794558,2770206,1593415,6672799,24948,292057,4808084,0,1008010,26388,23362,2125,873451,29289603,58694,0,0,2978,631705,0,0,0,8272910,19785621,10730,4157,2654,2116,0,16703,253546,503,25365271,0,5786042,0,7595243,19884718,23196,1814696,16093,1218,9308,11403918,0,9891,8607767,10550,0,8518,7489,243186,333377,19088,16694,6763115,2961256,1123937,287360,840824,0,0,5973675,776720,43155,3170273,0,0,0,25188737,0,0,8241842,8004,426621,131886,633930,7585,0,11453653,143972,71544,260684,662931,29270,1699478,956,39102,1730069,1143874,8329530,0,43262,22836680,0,0,19884718,253546,1263273,1532474,70808,124122,19884718,556887,38927,157889,1788910,0,222985,3603,12702,1118884
Dros_Minus2,Minus,334886,2750,83290,5791074,3190648,25601,4679562,51980,13078,82931,28098206,2045,2460279,23240184,12675,2464697,571445,1937511,5598080,10694,509759,34917,57466,23487,28304,39435,3276423,2359022,9106282,37420156,1356931,3062572,127948,1516430,26400923,2445799,1814013,2338282,12963586,135140,1857308,43017619,7281337,40745,14184489,19115156,1707545,23291,169201,281158,37220,167873,13066,8734,901,60094,44491,3074619,68773,57939,0,724960,0,3260871,2370,568811,0,1099613,140591,41973,73413,0,374501,0,0,369303,381905,31640,73006,2430611,2137346,4702615,826426,2641568,2073077,6236709,13804,340857,4806370,0,584844,24318,28595,1166,894457,33229295,49653,253431,0,22473,794116,0,0,0,8964265,23237644,2836,1891,11623,3333,0,0,260762,1360,27881015,0,5793611,0,8730010,23240184,9830,1806288,18079,3625,3815,9957928,742,23040,6508108,12675,0,10505,9725,210141,369303,27250,23625,6526705,3061526,1269126,241990,933079,0,0,4702615,831034,46042,2338282,0,0,0,28101610,0,0,7342025,3955,539076,116025,546247,2808,0,11040307,79731,56117,285740,780213,30361,1977527,0,40719,1735042,1131445,8964265,0,77016,21587386,0,0,23240792,260762,1150287,1605176,73413,128063,23240792,554651,819,79731,1455211,0,242264,22173,49287,880433
Dros_Minus3,Minus,252249,22946,23181,5596017,1805748,146205,6465793,32260,27146,69290,25034401,12188,1716490,25522102,90750,2757125,1683377,2201616,13475722,10635,346752,21486,76726,0,23251,48685,3182271,3102207,11303528,38177138,1426808,2684646,163418,1467929,18426017,3055601,1762454,2238624,12518278,152632,2424302,39849406,8464582,112794,14209407,20775946,1537391,24721,454719,205140,82221,134446,9798,44203,1195,46096,30540,19378278,65616,56962,2491,876801,0,3221197,3739,478906,0,1108550,131597,24562,295991,0,335649,0,0,340480,684108,37598,257272,3035709,1759968,22667746,911126,2296052,975662,5935703,25165,124111,4087282,1025,636805,13704,20960,0,931945,29423182,62539,98483,0,20313,968976,0,0,0,6314383,25015442,1009,4620,3658,21012,0,0,295741,1664,25027511,0,5596017,0,29984092,25526802,14920,1784601,68089,1297,3479,11637160,5104,5394,12579017,90750,0,20296,16085,849600,340480,153824,117484,6252597,2684646,1328087,252326,1814754,0,0,22667746,561892,34898,2238624,0,0,0,24430496,0,0,6759434,6173,502777,118554,521924,2630,0,11633642,3496,35414,982687,622819,34064,20292615,856,38975,1557711,1153908,6311481,0,60539,22203921,0,0,25017077,295741,1252793,1674029,295991,123023,25017077,580313,38462,18775,1191329,4026,125776,6305,43987,881248
Dros_Minus4,Minus,334001,8333,73154,5894448,2965381,49380,4881858,51027,12641,67046,18313112,3267,1398870,38945780,20215,2346839,803558,1794837,10721751,8972,503831,30403,69762,20850,6852,45295,2806873,2622202,10640947,38294554,1604568,3036520,131769,1534432,19960453,2880941,2004622,2346971,14933400,145478,2592712,35487706,7755000,136246,14417317,22363590,1443179,20858,199753,270246,73381,123007,9978,9583,0,53656,71073,5049484,71073,53705,864,1160546,0,3709770,14189,557452,0,1182993,136842,24242,133407,0,318025,0,0,410925,703630,14942,129646,2878752,2023108,8612986,869582,2419554,1356760,5817641,21714,269576,4698590,0,815227,21383,20723,1848,909873,35749155,103450,100129,0,19001,556434,0,0,0,6094495,38946993,2966,4451,10109,40739,0,0,268920,1561,18313112,0,5863156,0,9702524,38945780,23065,2019421,22235,860,7533,11300887,1633,11100,13067754,20215,2106,11448,11448,261152,410925,32808,22908,6269619,3037089,1156232,195331,944658,0,0,8612986,591441,48296,2346971,0,0,0,18313112,0,0,8715946,6677,363838,128007,527752,5767,0,11300525,15172,17124,304816,728417,46042,4550134,967,47444,1660585,1172716,6102106,0,51062,23141423,0,0,38945780,268920,1255428,1510164,116236,151262,38945780,549953,58110,58119,1471144,21317,216823,13762,45368,1021653
Dros_Minus5,Minus,181923,123234,5043,5733495,1211357,359350,6702903,27115,106863,84333,27731249,29067,1964832,25648993,209618,2116625,2585497,1759741,12057220,2489,317720,26585,61376,13953,11938,49474,2926630,3815739,10375287,34392887,1393544,2602331,170000,1485862,21356151,2419729,1631739,2202935,11948726,123645,2027434,42599805,7222023,181269,14371769,15814035,1604497,28128,751959,147239,91680,72025,13756,70447,0,34687,30383,53322188,59162,52828,58899,658017,0,3094672,4439,508639,0,1084346,146026,11783,714863,0,306284,0,829,423277,455406,6945,194485,2516861,1773909,37779234,922257,2407446,863489,6647715,17242,62034,3732945,24665,302888,11701,34073,1223,898779,29155781,71235,140808,0,18098,87574,0,20707,0,6828276,25644823,4587,9291,6190,123411,0,28872,279079,11884,27731249,0,5733495,0,41640371,25963231,6742,1555585,135079,1479,11736,7724433,29067,2165,18118078,209618,803,49733,49733,2821578,423277,413861,263504,5329074,2602331,900321,194488,2671443,0,0,37779234,608962,65229,2202935,0,0,0,27712891,0,0,7477377,4068,344125,105388,329892,0,0,9551680,79812,108352,2924236,481442,30901,53312309,895,49754,1480825,1136527,6828276,0,52372,22203715,0,0,25649727,279079,1226221,1316913,714863,116452,25649727,508010,26219,57855,1015051,990,152123,23086,29928,1102572
Dros_Minus6,Minus,177305,136030,5946,5580729,1451964,399993,7820165,26204,101558,81922,29927147,40573,2282741,26887682,202306,162677,3072688,2182953,12763499,6137,320730,21468,59915,23571,5793,47272,3379632,4003934,10527358,33299776,1405814,2777974,219976,1465064,20831869,2576414,1849102,1584443,11414479,136073,2451219,43576809,5554800,190629,13260938,15452201,1730384,34359,694789,137202,80046,145306,10471,98558,0,30019,37581,61015326,60816,52254,88270,758086,0,3084685,746,485731,1222,1041305,139766,32290,1062119,0,348212,0,938,461181,552261,25891,223691,2596936,1845489,44606083,972285,2464064,767455,6426425,17207,40587,3459220,38949,304426,11334,19000,4504,879415,28674651,78871,120245,0,16012,1352938,0,0,0,6067013,26786379,3806,9346,7429,131496,0,0,264208,11493,29809314,0,5580729,0,42793673,26517474,19150,1784914,133670,1458,2110,9083135,40573,2414,20176713,197675,1676,45322,45322,3530975,461181,470278,303562,6508790,2777974,1077022,169096,2884886,0,0,44606083,606349,41655,1584443,0,50041,0,29216960,0,1222,8200615,11939,338390,104963,307004,0,0,9133025,3356,90000,3625734,461504,29630,61960115,0,44100,1581315,1189801,6055720,0,11796,21700986,0,0,26882051,264208,1239977,1722574,1062119,126960,26882051,496631,74518,10098,830441,1168,142792,21003,44978,973571
Dros_pbQC01,PBQC,266708,7808,34823,5552041,2031088,203892,5577166,37743,42944,88160,24886260,20322,1570581,20400254,125846,235786,2343622,1332548,13206346,3593,379658,27052,47454,0,17495,41712,3236449,2833724,10511723,45460675,1170458,2766928,159538,1283994,17699286,1995889,1647783,2395183,9546666,125241,2753985,43036616,7904611,67776,11178030,14479592,1637002,33388,378205,248022,85213,122294,8942,27279,12797,41927,32270,19909248,67619,54004,32274,1011690,0,2958694,2460,507059,0,1062231,112667,27419,410847,0,351152,0,0,928249,653794,9590,240257,1989391,1658917,30260543,1232884,2323186,1411859,9163588,30607,127726,3789260,1466,339701,13732,36553,1632,793229,28084640,38778,74411,0,18957,0,0,0,0,6431884,20318329,5933,12099,5227,2444,0,0,291087,1192,24891194,6569,5484606,0,30377748,24854235,10834,1607472,76670,1134,710,8886802,17251,17911,18385626,125846,727,27203,27203,1470467,928249,223643,148775,6985968,2766131,1191598,352846,2238299,0,0,30260543,726794,48600,2395183,0,3780,0,24891479,0,0,8066678,8212,356115,121421,510046,4350,0,8635165,17657,184186,1466783,650475,34379,19768123,0,43061,1733415,1103082,6377638,0,50063,22569882,0,0,20400254,291087,1247033,1642707,410847,130452,20400254,503117,0,25776,1136980,2238,163598,31214,37854,1145239
Dros_pbQC02,PBQC,289693,8921,34706,5743552,1952366,205259,5797987,38459,44085,89904,25747461,22044,1653647,23114115,129372,2649656,2220714,1733792,14074788,3367,431704,24242,45359,0,13182,43231,3263344,3407976,11073915,44533738,1684074,2554899,173277,1280362,17934366,2160468,1630560,2279072,9189693,134785,2656902,44992879,8617425,153586,11376660,14555543,1658300,30160,376025,262852,94188,129206,8970,30073,1454,47960,26561,18920931,64769,48596,35575,1117627,0,2953092,3025,518726,0,1064636,110234,30817,439639,0,348866,0,804,927261,672417,13654,229785,2138365,1599756,30786563,1250935,2379570,1449816,8801764,27655,117328,3702837,3003,444939,13240,30759,2330,834800,29120210,40811,100519,0,19571,1011075,0,0,0,6521433,23014525,4117,5387,6699,10453,0,5160,273337,1603,25751914,0,5743552,0,30271535,20866069,7590,1645659,78382,0,1569,9148117,15984,7457,20492267,121965,965,24216,20201,1520658,927261,229022,154895,7190245,2556081,1145884,324477,2203666,0,0,30786563,716752,7973,2279072,0,0,0,25677574,0,0,8181289,7543,378620,121184,513464,0,0,8729467,32048,170460,1710079,648490,34823,20703869,883,44393,1633577,1102203,6537159,0,40069,22371667,0,0,23084813,273337,1295601,1572062,439639,131047,23084813,514143,5615,32048,1102419,5744,158894,27852,40457,1150427
Dros_pbQC03,PBQC,285993,48145,35330,5735489,1960915,204698,6115734,37493,39557,88194,25591183,19726,1655491,22916446,129021,1942804,2189223,1291760,14612346,2061,359587,23253,44936,8362,4656,44024,3121559,3448214,11694493,42681497,1188136,2622429,182809,1294113,17889449,2269933,1572807,2281824,9462961,129327,2714442,44788632,9024986,151069,11296696,14395275,1681588,22025,389160,260376,109153,76212,9569,30723,1406,49894,23253,20149593,64387,50294,42221,1226820,0,3079248,6789,548545,1019,1056795,102529,24286,450034,0,352738,0,0,948710,881309,10787,213214,2267000,1653230,30227657,1188144,2408231,1521329,8813698,28818,105421,3750550,2697,502516,11304,35167,2112,802889,30289841,76910,54702,0,20896,0,0,0,0,6432970,22753123,1673,9810,6584,25284,0,0,270561,1238,25520367,2127,5668353,0,30258375,22911405,19200,1608275,72412,1072,1188,9325298,8900,3060,20979558,129021,860,28624,28624,1496839,948710,221887,149793,6976461,2630299,1130007,110015,2173093,0,0,30227657,717959,9219,2281824,0,4493,0,25465280,0,1019,7177281,2955,389606,131163,550670,2434,0,9347236,39792,132748,1723677,651273,33000,21296442,725,41924,1622738,1117493,6324845,0,60565,22566847,0,0,22916446,270561,1359684,1589008,450034,128340,22916446,482531,31110,7377,1225477,13181,160279,11889,36495,1193981
Dros_pbQC04,PBQC,275924,79657,35682,5631993,2041215,198948,6413476,34817,36837,86640,25654840,18638,1541780,20578470,131304,2286174,2351813,1284489,14706915,1144,365067,25010,61549,15765,7592,44817,2957054,3391027,12512547,41601316,1335094,2628547,192482,1293723,17664413,2463055,1595488,2320648,10326964,134785,2628530,44378362,9522724,120353,11393309,14518025,1646840,22664,404029,264337,125876,125629,12734,29526,1524,54697,19612,19454016,68102,50565,58940,1229261,0,3253850,7444,560865,0,1068236,102598,21701,448562,0,344443,0,0,897861,932719,7723,209175,2432336,1586754,31466194,1173336,2428469,1601063,8934269,34209,95094,3778576,1460,568757,13948,35291,2663,834543,31982523,77576,0,0,18226,0,0,0,0,6222849,20440915,2184,8563,4543,28255,0,0,301849,613,25654840,0,5634136,0,30411464,20649100,21471,1616816,77676,812,3708,7991775,15064,0,22567142,131304,0,27414,21873,1616312,897861,219234,147015,6283209,2628547,1086796,305200,2181539,0,0,31466194,697703,24682,2320648,0,0,0,25707444,0,0,7545903,7219,397745,133656,568405,3096,0,7991775,34849,140748,1708741,659817,31000,19669795,0,40982,1700938,1130081,6159222,0,44742,23602902,0,0,18802097,301849,1431719,1571094,448562,129407,18802097,486782,86387,15267,1370073,9589,165509,4501,29155,1208288